beta1,beta2,beta3,beta_v,beta_z_infinity
0.114285714286,0,0.142857142857,25.8285714286,0.929645046642
0.114285714286,0,0.171428571429,25.1428571429,0.925026111887
0.114285714286,0,0.2,24.4571428571,0.920130005238
0.114285714286,0,0.228571428571,23.7714285714,0.914943581126
0.114285714286,0,0.257142857143,23.0857142857,0.909453534814
0.114285714286,0,0.285714285714,22.4,0.903646469315
0.114285714286,0,0.314285714286,21.7142857143,0.897508972279
0.114285714286,0,0.342857142857,21.0285714286,0.891027703364
0.114285714286,0,0.371428571429,20.3428571429,0.884189492474
0.114285714286,0,0.4,19.6571428571,0.876981449141
0.114285714286,0,0.428571428571,18.9714285714,0.869391083141
0.114285714286,0,0.457142857143,18.2857142857,0.861406436223
0.114285714286,0,0.485714285714,17.6,0.853016224597
0.114285714286,0,0.514285714286,16.9142857143,0.844209991528
0.114285714286,0,0.542857142857,16.2285714286,0.834978269073
0.114285714286,0,0.571428571429,15.5428571429,0.825312747651
0.114285714286,0,0.6,14.8571428571,0.815206451718
0.114285714286,0,0.628571428571,14.1714285714,0.804653919479
0.114285714286,0,0.657142857143,13.4857142857,0.79365138409
0.114285714286,0,0.685714285714,12.8,0.782196953458
0.114285714286,0,0.714285714286,12.1142857143,0.770290785308
0.114285714286,0,0.742857142857,11.4285714286,0.757935253882
0.114285714286,0,0.771428571429,10.7428571429,0.74513510431
0.114285714286,0,0.8,10.0571428571,0.731897590505
0.114285714286,0,0.828571428571,9.37142857143,0.718232592315
0.114285714286,0,0.857142857143,8.68571428571,0.704152707678
0.114285714286,0,0.885714285714,8,0.689673315674
0.114285714286,0,0.914285714286,7.31428571429,0.674812606669
0.114285714286,0,0.942857142857,6.62857142857,0.659591576222
0.114285714286,0,0.971428571429,5.94285714286,0.64403398001
0.114285714286,0,1,5.25714285714,0.628166247847
0.142857142857,0,0,28.5714285714,0.945603424632
0.142857142857,0,0.0285714285714,27.8857142857,0.941966739953
0.142857142857,0,0.0571428571429,27.2,0.938102850413
0.142857142857,0,0.0857142857143,26.5142857143,0.933999738363
0.142857142857,0,0.114285714286,25.8285714286,0.929645046642
0.142857142857,0,0.142857142857,25.1428571429,0.925026111887
0.142857142857,0,0.171428571429,24.4571428571,0.920130005238
0.142857142857,0,0.2,23.7714285714,0.914943581126
0.142857142857,0,0.228571428571,23.0857142857,0.909453534814
0.142857142857,0,0.257142857143,22.4,0.903646469315
0.142857142857,0,0.285714285714,21.7142857143,0.897508972279
0.142857142857,0,0.314285714286,21.0285714286,0.891027703364
0.142857142857,0,0.342857142857,20.3428571429,0.884189492474
0.142857142857,0,0.371428571429,19.6571428571,0.876981449141
0.142857142857,0,0.4,18.9714285714,0.869391083141
0.142857142857,0,0.428571428571,18.2857142857,0.861406436223
0.142857142857,0,0.457142857143,17.6,0.853016224597
0.142857142857,0,0.485714285714,16.9142857143,0.844209991528
0.142857142857,0,0.514285714286,16.2285714286,0.834978269073
0.142857142857,0,0.542857142857,15.5428571429,0.825312747651
0.142857142857,0,0.571428571429,14.8571428571,0.815206451718
0.142857142857,0,0.6,14.1714285714,0.804653919479
0.142857142857,0,0.628571428571,13.4857142857,0.79365138409
0.142857142857,0,0.657142857143,12.8,0.782196953458
0.142857142857,0,0.685714285714,12.1142857143,0.770290785308
0.142857142857,0,0.714285714286,11.4285714286,0.757935253882
0.142857142857,0,0.742857142857,10.7428571429,0.74513510431
0.142857142857,0,0.771428571429,10.0571428571,0.731897590505
0.142857142857,0,0.8,9.37142857143,0.718232592315
0.142857142857,0,0.828571428571,8.68571428571,0.704152707678
0.142857142857,0,0.857142857143,8,0.689673315674
0.142857142857,0,0.885714285714,7.31428571429,0.674812606669
0.142857142857,0,0.914285714286,6.62857142857,0.659591576222
0.142857142857,0,0.942857142857,5.94285714286,0.64403398001
0.142857142857,0,0.971428571429,5.25714285714,0.628166247847
0.142857142857,0,1,4.57142857143,0.612017355761
0.171428571429,0,0,27.8857142857,0.941966739953
0.171428571429,0,0.0285714285714,27.2,0.938102850413
0.171428571429,0,0.0571428571429,26.5142857143,0.933999738363
0.171428571429,0,0.0857142857143,25.8285714286,0.929645046642
0.171428571429,0,0.114285714286,25.1428571429,0.925026111887
0.171428571429,0,0.142857142857,24.4571428571,0.920130005238
0.171428571429,0,0.171428571429,23.7714285714,0.914943581126
0.171428571429,0,0.2,23.0857142857,0.909453534814
0.171428571429,0,0.228571428571,22.4,0.903646469315
0.171428571429,0,0.257142857143,21.7142857143,0.897508972279
0.171428571429,0,0.285714285714,21.0285714286,0.891027703364
0.171428571429,0,0.314285714286,20.3428571429,0.884189492474
0.171428571429,0,0.342857142857,19.6571428571,0.876981449141
0.171428571429,0,0.371428571429,18.9714285714,0.869391083141
0.171428571429,0,0.4,18.2857142857,0.861406436223
0.171428571429,0,0.428571428571,17.6,0.853016224597
0.171428571429,0,0.457142857143,16.9142857143,0.844209991528
0.171428571429,0,0.485714285714,16.2285714286,0.834978269073
0.171428571429,0,0.514285714286,15.5428571429,0.825312747651
0.171428571429,0,0.542857142857,14.8571428571,0.815206451718
0.171428571429,0,0.571428571429,14.1714285714,0.804653919479
0.171428571429,0,0.6,13.4857142857,0.79365138409
0.171428571429,0,0.628571428571,12.8,0.782196953458
0.171428571429,0,0.657142857143,12.1142857143,0.770290785308
0.171428571429,0,0.685714285714,11.4285714286,0.757935253882
0.171428571429,0,0.714285714286,10.7428571429,0.74513510431
0.171428571429,0,0.742857142857,10.0571428571,0.731897590505
0.171428571429,0,0.771428571429,9.37142857143,0.718232592315
