beta1,beta2,nand_beta_z,or_beta_z,xor_beta_z
0.0251572327044,0.0062893081761,0.999999999937,0.000554057067982,0.000338053521354
0.0314465408805,0.0062893081761,0.999999999931,0.000612677024371,0.000338370629551
0.0377358490566,0.0062893081761,0.999999999924,0.000677494840478,0.000338721611644
0.0440251572327,0.0062893081761,0.999999999915,0.000749164875728,0.000339110121522
0.0503144654088,0.0062893081761,0.999999999906,0.00082841036693,0.000339540215139
0.0566037735849,0.0062893081761,0.999999999897,0.000916030631761,0.000340016396462
0.062893081761,0.0062893081761,0.999999999886,0.00101290901525,0.00034054366914
0.0691823899371,0.0062893081761,0.999999999874,0.0011200216536,0.000341127594534
0.0754716981132,0.0062893081761,0.99999999986,0.00123844713648,0.000341774357116
0.0817610062893,0.0062893081761,0.999999999845,0.00136937715667,0.000342490838199
0.0880503144654,0.0062893081761,0.999999999829,0.00151412824336,0.000343284699267
0.0943396226415,0.0062893081761,0.999999999811,0.00167415468456,0.000344164476289
0.100628930818,0.0062893081761,0.999999999791,0.00185106275245,0.000345139686767
0.106918238994,0.0062893081761,0.999999999769,0.00204662635561,0.000346220951371
0.11320754717,0.0062893081761,0.999999999744,0.00226280425146,0.000347420132608
0.119496855346,0.0062893081761,0.999999999717,0.00250175896313,0.000348750493221
0.125786163522,0.0062893081761,0.999999999687,0.00276587755512,0.000350226877618
0.132075471698,0.0062893081761,0.999999999654,0.00305779443323,0.000351865920295
0.138364779874,0.0062893081761,0.999999999617,0.00338041634471,0.000353686285918
0.14465408805,0.0062893081761,0.999999999577,0.00373694976505,0.00035570894679
0.150943396226,0.0062893081761,0.999999999532,0.00413093086763,0.000357957504544
0.157232704403,0.0062893081761,0.999999999482,0.00456625828081,0.00036045856435
0.163522012579,0.0062893081761,0.999999999428,0.00504722884466,0.000363242171865
0.169811320755,0.0062893081761,0.999999999367,0.00557857658362,0.000366342325166
0.176100628931,0.0062893081761,0.9999999993,0.0061655151137,0.000369797577072
0.182389937107,0.0062893081761,0.999999999226,0.00681378369965,0.00037365174642
0.188679245283,0.0062893081761,0.999999999144,0.00752969717048,0.000377954761665
0.194968553459,0.0062893081761,0.999999999053,0.00832019988578,0.000382763665582
0.201257861635,0.0062893081761,0.999999998953,0.00919292392269,0.000388143817205
0.207547169811,0.0062893081761,0.999999998842,0.010156251618,0.000394170336222
0.213836477987,0.0062893081761,0.99999999872,0.0112193825515,0.000400929846833
0.220125786164,0.0062893081761,0.999999998584,0.0123924049927,0.000408522593492
0.22641509434,0.0062893081761,0.999999998435,0.0136863717459,0.000417065020364
0.232704402516,0.0062893081761,0.999999998269,0.0151133802208,0.000426692932424
0.238993710692,0.0062893081761,0.999999998085,0.0166866564144,0.000437565389644
0.245283018868,0.0062893081761,0.999999997883,0.01842064232,0.000449869530301
0.251572327044,0.0062893081761,0.999999997659,0.0203310860606,0.000463826578566
0.25786163522,0.0062893081761,0.999999997411,0.0224351337886,0.000479699370126
0.264150943396,0.0062893081761,0.999999997137,0.024751422075,0.000497801835547
0.270440251572,0.0062893081761,0.999999996834,0.0273001691432,0.000518511023865
0.276729559748,0.0062893081761,0.999999996498,0.0301032628571,0.000542282443259
0.283018867925,0.0062893081761,0.999999996128,0.0331843428675,0.000569669761755
0.289308176101,0.0062893081761,0.999999995718,0.0365688737305,0.000601350277591
0.295597484277,0.0062893081761,0.999999995264,0.0402842051504,0.000638158077826
0.301886792453,0.0062893081761,0.999999994763,0.0443596147637,0.000681127515279
0.308176100629,0.0062893081761,0.999999994209,0.0488263280793,0.000731550635215
0.314465408805,0.0062893081761,0.999999993595,0.0537175093387,0.000791053603003
0.320754716981,0.0062893081761,0.999999992917,0.059068216189,0.000861699211721
0.327044025157,0.0062893081761,0.999999992168,0.0649153102005,0.000946125464578
0.333333333333,0.0062893081761,0.999999991338,0.0712973144729,0.0010477344514
0.339622641509,0.0062893081761,0.999999990421,0.0782542089207,0.00117095189941
0.345911949686,0.0062893081761,0.999999989407,0.0858271534068,0.00132158682455
0.352201257862,0.0062893081761,0.999999988286,0.0940581288108,0.00150733407589
0.358490566038,0.0062893081761,0.999999987046,0.102989486505,0.0017384824272
0.364779874214,0.0062893081761,0.999999985675,0.112663397713,0.00202892053112
0.37106918239,0.0062893081761,0.999999984158,0.12312119601,0.00239757751811
0.377358490566,0.0062893081761,0.999999982481,0.134402608914,0.00287050184227
0.383647798742,0.0062893081761,0.999999980626,0.146544878301,0.00348388240741
0.389937106918,0.0062893081761,0.999999978575,0.159581774279,0.00428846652468
0.396226415094,0.0062893081761,0.999999976307,0.173542513292,0.00535605316544
0.40251572327,0.0062893081761,0.999999973799,0.188450598404,0.00678906826974
0.408805031447,0.0062893081761,0.999999971025,0.204322607868,0.00873469780494
0.415094339623,0.0062893081761,0.999999967957,0.221166966696,0.0114056933292
0.421383647799,0.0062893081761,0.999999964565,0.238982744632,0.0151107603669
0.427672955975,0.0062893081761,0.999999960814,0.257758531811,0.0202982427443
0.433962264151,0.0062893081761,0.999999956665,0.277471449737,0.0276171310199
0.440251572327,0.0062893081761,0.999999952077,0.298086358972,0.0379979807041
0.446540880503,0.0062893081761,0.999999947004,0.319555325237,0.052750341478
0.452830188679,0.0062893081761,0.999999941394,0.341817401584,0.0736575910117
0.459119496855,0.0062893081761,0.999999935189,0.364798775442,0.103017330223
0.465408805031,0.0062893081761,0.999999928328,0.388413315522,0.143521971284
0.471698113208,0.0062893081761,0.99999992074,0.412563535133,0.197818907122
0.477987421384,0.0062893081761,0.999999912349,0.437141966511,0.267609351947
0.48427672956,0.0062893081761,0.99999990307,0.462032916747,0.352378314886
0.490566037736,0.0062893081761,0.999999892808,0.48711455184,0.448341168245
0.496855345912,0.0062893081761,0.99999988146,0.5122612335,0.548568345176
0.503144654088,0.0062893081761,0.999999868911,0.537346015791,0.644778207806
0.509433962264,0.0062893081761,0.999999855033,0.562243197272,0.729965536459
0.51572327044,0.0062893081761,0.999999839686,0.58683082031,0.800239337949
0.522012578616,0.0062893081761,0.999999822714,0.610993013041,0.854996572569
0.528301886792,0.0062893081761,0.999999803946,0.634622080696,0.895890110396
0.534591194969,0.0062893081761,0.99999978319,0.65762027042,0.92555388484
0.540880503145,0.0062893081761,0.999999760238,0.679901155534,0.946687234391
0.547169811321,0.0062893081761,0.999999734855,0.701390609227,0.961602595127
0.553459119497,0.0062893081761,0.999999706785,0.722027361676,0.972098867384
0.559748427673,0.0062893081761,0.999999675743,0.74176315667,0.979498773845
0.566037735849,0.0062893081761,0.999999641416,0.760562542304,0.984742988895
0.572327044025,0.0062893081761,0.999999603454,0.778402344249,0.988487864701
0.578616352201,0.0062893081761,0.999999561473,0.795270879124,0.991186938594
0.584905660377,0.0062893081761,0.999999515047,0.811166969604,0.993152518655
0.591194968553,0.0062893081761,0.999999463707,0.826098822723,0.994599834995
0.59748427673,0.0062893081761,0.999999406932,0.840082829121,0.995677774554
0.603773584906,0.0062893081761,0.999999344146,0.853142334713,0.996489932172
0.610062893082,0.0062893081761,0.999999274714,0.865306428377,0.997108913283
0.616352201258,0.0062893081761,0.99999919793,0.876608780603,0.997586024849
0.622641509434,0.0062893081761,0.999999113018,0.887086559415,0.997957846907
0.62893081761,0.0062893081761,0.999999019117,0.896779441708,0.998250703458
0.635220125786,0.0062893081761,0.999998915275,0.905728730942,0.998483719409
0.641509433962,0.0062893081761,0.999998800439,0.913976585952,0.998670923765
0.647798742138,0.0062893081761,0.999998673447,0.921565360735,0.998822706834
0.654088050314,0.0062893081761,0.99999853301,0.928537051224,0.998946837599
0.660377358491,0.0062893081761,0.999998377705,0.934932842376,0.999049179702
0.666666666667,0.0062893081761,0.999998205959,0.94079274708,0.99913419949
0.672955974843,0.0062893081761,0.999998016031,0.94615532737,0.999205329529
0.679245283019,0.0062893081761,0.999997805997,0.95105748804,0.99926523089
0.685534591195,0.0062893081761,0.999997573726,0.955534332818,0.999315983976
0.691823899371,0.0062893081761,0.999997316867,0.95961907368,0.999359228506
0.698113207547,0.0062893081761,0.999997032814,0.963342984526,0.999396267044
0.704402515723,0.0062893081761,0.999996718691,0.96673539123,0.999428142169
0.710691823899,0.0062893081761,0.999996371312,0.969823690938,0.999455694448
0.716981132075,0.0062893081761,0.999995987158,0.972633394353,0.99947960632
0.723270440252,0.0062893081761,0.999995562336,0.975188185604,0.999500435561
0.729559748428,0.0062893081761,0.999995092539,0.977509995094,0.999518640982
0.735849056604,0.0062893081761,0.999994573008,0.979619081462,0.999534602302
0.74213836478,0.0062893081761,0.999993998476,0.981534119461,0.999548635625
0.748427672956,0.0062893081761,0.999993363122,0.983272291137,0.999561005561
0.754716981132,0.0062893081761,0.999992660506,0.984849378215,0.999571934793
0.761006289308,0.0062893081761,0.999991883507,0.986279854022,0.99958161166
0.767295597484,0.0062893081761,0.999991024253,0.987576973681,0.999590196214
0.77358490566,0.0062893081761,0.999990074034,0.988752861596,0.999597825084
0.779874213836,0.0062893081761,0.999989023221,0.989818595526,0.999604615394
0.786163522013,0.0062893081761,0.999987861165,0.990784286758,0.999610667953
0.792452830189,0.0062893081761,0.99998657609,0.991659156056,0.999616069851
0.798742138365,0.0062893081761,0.999985154973,0.992451605222,0.999620896591
0.805031446541,0.0062893081761,0.999983583412,0.993169284191,0.999625213842
0.811320754717,0.0062893081761,0.999981845481,0.993819153678,0.999629078895
0.817610062893,0.0062893081761,0.99997992357,0.994407543473,0.999632541876
0.823899371069,0.0062893081761,0.999977798201,0.994940206515,0.999635646748
0.830188679245,0.0062893081761,0.999975447838,0.995422368901,0.999638432167
0.836477987421,0.0062893081761,0.999972848665,0.995858776035,0.999640932195
0.842767295597,0.0062893081761,0.999969974342,0.99625373513,0.999643176902
0.849056603774,0.0062893081761,0.999966795745,0.996611154256,0.999645192885
0.85534591195,0.0062893081761,0.999963280666,0.996934578181,0.9996470037
0.861635220126,0.0062893081761,0.999959393487,0.997227221192,0.999648630242
0.867924528302,0.0062893081761,0.999955094822,0.997491997138,0.999650091064
0.874213836478,0.0062893081761,0.999950341117,0.997731546876,0.999651402656
0.880503144654,0.0062893081761,0.999945084208,0.997948263329,0.999652579682
0.88679245283,0.0062893081761,0.999939270835,0.998144314335,0.999653635187
0.893081761006,0.0062893081761,0.9999328421,0.998321663476,0.999654580779
0.899371069182,0.0062893081761,0.999925732876,0.998482089036,0.999655426783
0.905660377358,0.0062893081761,0.999917871143,0.998627201254,0.999656182378
0.911949685535,0.0062893081761,0.999909177263,0.998758458015,0.999656855715
0.918238993711,0.0062893081761,0.99989956317,0.998877179107,0.999657454018
0.924528301887,0.0062893081761,0.999888931485,0.998984559177,0.999657983679
0.930817610063,0.0062893081761,0.999877174527,0.999081679489,0.999658450331
0.937106918239,0.0062893081761,0.999864173227,0.999169518604,0.99965885892
0.943396226415,0.0062893081761,0.999849795923,0.99924896206,0.999659213762
0.949685534591,0.0062893081761,0.99983389703,0.999320811163,0.999659518594
0.955974842767,0.0062893081761,0.99981631557,0.999385790949,0.999659776621
0.962264150943,0.0062893081761,0.999796873548,0.999444557405,0.999659990546
0.968553459119,0.0062893081761,0.999775374155,0.999497704018,0.999660162609
0.974842767296,0.0062893081761,0.999751599779,0.999545767697,0.999660294609
