epsilon1,epsilon0,epsilon_z,beta1,beta_v,beta_z_infinity
1,1.1,0.1,2.03884711779,-3.88847117794,1.40311355442
1,1.1,0.1,2.04385964912,-3.93859649123,1.40190830352
1,1.1,0.1,2.04887218045,-3.98872180451,1.40070423678
1,1.1,0.1,2.05388471178,-4.03884711779,1.39950136754
1,1.1,0.1,2.05889724311,-4.08897243108,1.3982997091
1,1.1,0.1,2.06390977444,-4.13909774436,1.3970992747
1,1.1,0.1,2.06892230576,-4.18922305764,1.39590007752
1,1.1,0.1,2.07393483709,-4.23934837093,1.39470213067
1,1.1,0.1,2.07894736842,-4.28947368421,1.39350544723
1,1.1,0.1,2.08395989975,-4.33959899749,1.39231004019
1,1.1,0.1,2.08897243108,-4.38972431078,1.3911159225
1,1.1,0.1,2.09398496241,-4.43984962406,1.38992310705
1,1.1,0.1,2.09899749373,-4.48997493734,1.38873160665
1,1.1,0.1,2.10401002506,-4.54010025063,1.38754143406
1,1.1,0.1,2.10902255639,-4.59022556391,1.38635260199
1,1.1,0.1,2.11403508772,-4.64035087719,1.38516512308
1,1.1,0.1,2.11904761905,-4.69047619048,1.38397900989
1,1.1,0.1,2.12406015038,-4.74060150376,1.38279427495
1,1.1,0.1,2.1290726817,-4.79072681704,1.3816109307
1,1.1,0.1,2.13408521303,-4.84085213033,1.38042898952
1,1.1,0.1,2.13909774436,-4.89097744361,1.37924846373
1,1.1,0.1,2.14411027569,-4.94110275689,1.3780693656
1,1.1,0.1,2.14912280702,-4.99122807018,1.3768917073
1,1.1,0.1,2.15413533835,-5.04135338346,1.37571550096
1,1.1,0.1,2.15914786967,-5.09147869674,1.37454075864
1,1.1,0.1,2.164160401,-5.14160401003,1.37336749233
1,1.1,0.1,2.16917293233,-5.19172932331,1.37219571395
1,1.1,0.1,2.17418546366,-5.24185463659,1.37102543536
1,1.1,0.1,2.17919799499,-5.29197994987,1.36985666834
1,1.1,0.1,2.18421052632,-5.34210526316,1.36868942463
1,1.1,0.1,2.18922305764,-5.39223057644,1.36752371585
1,1.1,0.1,2.19423558897,-5.44235588972,1.36635955361
1,1.1,0.1,2.1992481203,-5.49248120301,1.36519694941
1,1.1,0.1,2.20426065163,-5.54260651629,1.36403591469
1,1.1,0.1,2.20927318296,-5.59273182957,1.36287646083
1,1.1,0.1,2.21428571429,-5.64285714286,1.36171859912
1,1.1,0.1,2.21929824561,-5.69298245614,1.36056234081
1,1.1,0.1,2.22431077694,-5.74310776942,1.35940769704
1,1.1,0.1,2.22932330827,-5.79323308271,1.35825467891
1,1.1,0.1,2.2343358396,-5.84335839599,1.35710329743
1,1.1,0.1,2.23934837093,-5.89348370927,1.35595356354
1,1.1,0.1,2.24436090226,-5.94360902256,1.35480548812
1,1.1,0.1,2.24937343358,-5.99373433584,1.35365908197
1,1.1,0.1,2.25438596491,-6.04385964912,1.35251435581
1,1.1,0.1,2.25939849624,-6.09398496241,1.35137132028
1,1.1,0.1,2.26441102757,-6.14411027569,1.35022998598
1,1.1,0.1,2.2694235589,-6.19423558897,1.3490903634
1,1.1,0.1,2.27443609023,-6.24436090226,1.34795246297
1,1.1,0.1,2.27944862155,-6.29448621554,1.34681629505
1,1.1,0.1,2.28446115288,-6.34461152882,1.34568186992
1,1.1,0.1,2.28947368421,-6.39473684211,1.34454919777
1,1.1,0.1,2.29448621554,-6.44486215539,1.34341828875
1,1.1,0.1,2.29949874687,-6.49498746867,1.3422891529
1,1.1,0.1,2.3045112782,-6.54511278195,1.3411618002
1,1.1,0.1,2.30952380952,-6.59523809524,1.34003624055
1,1.1,0.1,2.31453634085,-6.64536340852,1.33891248377
1,1.1,0.1,2.31954887218,-6.6954887218,1.33779053962
1,1.1,0.1,2.32456140351,-6.74561403509,1.33667041777
1,1.1,0.1,2.32957393484,-6.79573934837,1.33555212781
1,1.1,0.1,2.33458646617,-6.84586466165,1.33443567925
1,1.1,0.1,2.33959899749,-6.89598997494,1.33332108154
1,1.1,0.1,2.34461152882,-6.94611528822,1.33220834404
1,1.1,0.1,2.34962406015,-6.9962406015,1.33109747603
1,1.1,0.1,2.35463659148,-7.04636591479,1.32998848672
1,1.1,0.1,2.35964912281,-7.09649122807,1.32888138524
1,1.1,0.1,2.36466165414,-7.14661654135,1.32777618063
1,1.1,0.1,2.36967418546,-7.19674185464,1.32667288187
1,1.1,0.1,2.37468671679,-7.24686716792,1.32557149785
1,1.1,0.1,2.37969924812,-7.2969924812,1.32447203738
1,1.1,0.1,2.38471177945,-7.34711779449,1.32337450919
1,1.1,0.1,2.38972431078,-7.39724310777,1.32227892195
1,1.1,0.1,2.39473684211,-7.44736842105,1.32118528423
1,1.1,0.1,2.39974937343,-7.49749373434,1.32009360453
1,1.1,0.1,2.40476190476,-7.54761904762,1.31900389126
1,1.1,0.1,2.40977443609,-7.5977443609,1.31791615276
1,1.1,0.1,2.41478696742,-7.64786967419,1.31683039729
