regime,zeta,time,trace,hermiticity_error,purity,sigma_z,excited_population
super_ohmic,3.0,1.4000000000000001,0.9999958030833407,5.088173248018482e-12,0.8609540529261726,0.8496566951822657,0.07517165240886714
super_ohmic,3.0,1.5,0.999995359327642,8.936825140042154e-12,0.8597513154547681,0.8482404801898553,0.07587975990507234
super_ohmic,3.0,1.6,0.9999949639909641,2.0198625659337834e-11,0.8585510899512029,0.846824805904454,0.07658759704777302
super_ohmic,3.0,1.7000000000000002,0.9999945419042622,3.1386543466734853e-11,0.8573542221604491,0.8454107643522071,0.07729461782389646
super_ohmic,3.0,1.8,0.9999941267587572,3.454216966466987e-11,0.8561601118771378,0.8439976126756913,0.07800119366215436
super_ohmic,3.0,1.9000000000000001,0.9999936977653353,1.069165525330556e-10,0.8549690558904436,0.8425857322614111,0.07870713386929445
super_ohmic,3.0,2.0,0.9999932908390666,3.9718967918378966e-11,0.8537818367007817,0.8411760170608867,0.07941199146955663
super_ohmic,3.0,2.1,0.9999928654070682,1.4455565094705707e-10,0.8525974577322197,0.8397673395645966,0.0801163302177017
super_ohmic,3.0,2.2,0.9999924501199773,3.3170631816215066e-10,0.8514161445796139,0.8383599399197641,0.08082003004011795
super_ohmic,3.0,2.3000000000000003,0.9999920291171158,6.945453809014943e-10,0.850238120479552,0.8369541102481817,0.08152294487590916
super_ohmic,3.0,2.4000000000000004,0.999991614998277,1.2953036779178354e-09,0.8490630920266287,0.835549492242307,0.0822252538788465
super_ohmic,3.0,2.5,0.9999911935435303,2.3443382386662348e-09,0.8478912627026757,0.8341463530104157,0.08292682349479213
super_ohmic,3.0,2.6,0.9999907805961924,3.174848359238588e-09,0.8467224552955502,0.8327444681976034,0.0836277659011983
super_ohmic,3.0,2.7,0.9999903584539174,5.327395417026663e-09,0.8455567657939155,0.8313439809049015,0.08432800954754927
super_ohmic,3.0,2.8000000000000003,0.9999899476534139,3.026286564987899e-09,0.8443944138088639,0.8299451380722948,0.08502743096385262
super_ohmic,3.0,2.9000000000000004,0.9999895270182946,7.492766303437195e-10,0.8432349711201818,0.8285474567543436,0.0857262716228282
super_ohmic,3.0,3.0,0.9999891150947733,2.697118695261079e-09,0.8420787065599561,0.8271512454272634,0.08642437728636831
