architecture,chain_length,time,method,max_required_bond_dimension,max_bond_entropy_bits,raw_tensor_parameter_count
passive_buffer,4,1.3333333333333333,interleaved_mps,24,0.5586353340223851,6744
passive_buffer,4,1.3333333333333333,graph_optimized_mps,11,0.4486300772570095,1418
passive_buffer,4,1.3333333333333333,factor_tree_ttn,4,0.306422530580914,444
passive_buffer,4,2.0,interleaved_mps,32,0.8449750716487893,12444
passive_buffer,4,2.0,graph_optimized_mps,13,0.6772658047559063,1832
passive_buffer,4,2.0,factor_tree_ttn,6,0.5229957864216741,600
passive_buffer,4,2.6666666666666665,interleaved_mps,44,0.9972663572512761,19756
passive_buffer,4,2.6666666666666665,graph_optimized_mps,17,0.8374896321797956,2784
passive_buffer,4,2.6666666666666665,factor_tree_ttn,6,0.7207976026025338,758
passive_buffer,4,3.333333333333333,interleaved_mps,56,1.1016673820769933,27348
passive_buffer,4,3.333333333333333,graph_optimized_mps,21,0.9906930374273922,3876
passive_buffer,4,3.333333333333333,factor_tree_ttn,8,0.8758400692735265,1088
passive_buffer,4,4.0,interleaved_mps,66,1.24939740886681,33544
passive_buffer,4,4.0,graph_optimized_mps,23,1.1858515421043967,4650
passive_buffer,4,4.0,factor_tree_ttn,10,0.9725450820391753,1740
floquet_buffer,4,0.0,interleaved_mps,1,-0.0,32
floquet_buffer,4,0.0,graph_optimized_mps,1,-0.0,32
floquet_buffer,4,0.0,factor_tree_ttn,1,-0.0,33
floquet_buffer,4,0.6666666666666666,interleaved_mps,11,0.2055244302977593,2104
floquet_buffer,4,0.6666666666666666,graph_optimized_mps,7,0.17201446211441376,578
floquet_buffer,4,0.6666666666666666,factor_tree_ttn,4,0.10749007909376354,280
floquet_buffer,4,1.3333333333333333,interleaved_mps,24,0.5585707985722185,6744
floquet_buffer,4,1.3333333333333333,graph_optimized_mps,11,0.4485648421276914,1418
floquet_buffer,4,1.3333333333333333,factor_tree_ttn,4,0.3063831553967663,444
floquet_buffer,4,2.0,interleaved_mps,32,0.8443220827418791,12444
floquet_buffer,4,2.0,graph_optimized_mps,13,0.6765980579427847,1874
floquet_buffer,4,2.0,factor_tree_ttn,6,0.5226374673763358,600
floquet_buffer,4,2.6666666666666665,interleaved_mps,44,0.994921446941719,19908
floquet_buffer,4,2.6666666666666665,graph_optimized_mps,17,0.8350828816635631,2828
floquet_buffer,4,2.6666666666666665,factor_tree_ttn,6,0.7197133556208124,776
floquet_buffer,4,3.333333333333333,interleaved_mps,56,1.096977242039138,27348
floquet_buffer,4,3.333333333333333,graph_optimized_mps,21,0.9859125275399481,3742
floquet_buffer,4,3.333333333333333,factor_tree_ttn,8,0.8741775080332198,1156
floquet_buffer,4,4.0,interleaved_mps,65,1.2421860579547737,33280
floquet_buffer,4,4.0,graph_optimized_mps,25,1.1785229056082502,4986
floquet_buffer,4,4.0,factor_tree_ttn,10,0.9709071614237773,1646
