drive_amplitude,buffer_coupling,coupling_scale,direct_accuracy,buffered_accuracy,direct_min_margin,buffered_min_margin,margin_gain,trace_distance_gain,buffered_work_proxy,three_phase_label
0.1,0.02,1.5,1.0,1.0,0.499950293953461,0.4559842848730935,-0.04396600908036752,-0.000542792505554876,-0.0007686770207965255,robust_pass
0.1,0.02,2.0,1.0,1.0,0.4999098373002768,0.4672465137403654,-0.03266332355991142,-0.00040420351891399045,-0.0009935554525731102,robust_pass
0.1,0.04,0.5,1.0,1.0,0.49587993549917786,0.2343862798626879,-0.26149365563648996,-0.0032153947585471902,-0.0002936836528095437,robust_pass
0.1,0.04,1.0,1.0,1.0,0.49994201078120737,0.2854654265314702,-0.21447658424973715,-0.0026512347108611015,-0.0005341023781681226,robust_pass
0.1,0.04,1.5,1.0,1.0,0.499950293953461,0.33496827861697476,-0.16498201533648627,-0.00203813497781858,-0.0007673868960918322,robust_pass
0.1,0.04,2.0,1.0,1.0,0.4999098373002768,0.3752402283332621,-0.12466960896701473,-0.0015408062410565242,-0.0009913759076714747,robust_pass
0.1,0.08,0.5,1.0,0.5,0.49587993549917786,0.2513054865345552,-0.24457444896462266,-0.009204702880959599,-0.0002915495523128928,fail
0.1,0.08,1.0,1.0,0.5,0.49994201078120737,0.14879905389178472,-0.35114295688942265,-0.008031951898582145,-0.0005341361723324959,fail
0.1,0.08,1.5,1.0,0.5,0.499950293953461,0.028877169226573685,-0.47107312472688734,-0.006543574447025753,-0.0007663534128628982,fail
0.1,0.08,2.0,1.0,1.0,0.4999098373002768,0.07983878421422208,-0.42007105308605475,-0.005196435296086762,-0.0009870039049651215,robust_pass
0.2,0.0,0.5,1.0,1.0,0.49587993549917786,0.4958368809861229,-4.305451305497421e-05,-2.1286683461185785e-06,-0.0011815886297561473,robust_pass
0.2,0.0,1.0,1.0,1.0,0.49994201078120737,0.4999136191548197,-2.8391626387680446e-05,-1.3044155650343559e-06,-0.002136740096979533,robust_pass
0.2,0.0,1.5,1.0,1.0,0.499950293953461,0.4999471524360517,-3.1415174093218923e-06,1.681420983834503e-07,-0.003068831816312639,robust_pass
0.2,0.0,2.0,1.0,1.0,0.4999098373002768,0.4999474284064682,3.75911061913925e-05,-3.1100668657080277e-07,-0.003965753957135148,robust_pass
0.2,0.01,0.5,1.0,1.0,0.49587993549917786,0.47382912261960164,-0.02205081287957622,-0.00024956554143244075,-0.0011807625437903974,robust_pass
0.2,0.01,1.0,1.0,1.0,0.49994201078120737,0.48436863470318636,-0.015573376078021006,-0.00019320176384284016,-0.002135606583005903,robust_pass
0.2,0.01,1.5,1.0,1.0,0.499950293953461,0.48843666321952095,-0.011513630733940072,-0.00014209024580371515,-0.003067902404627826,robust_pass
0.2,0.01,2.0,1.0,1.0,0.4999098373002768,0.4914966651062418,-0.008413172194035035,-0.00010479636425689623,-0.003964706868557365,robust_pass
0.2,0.02,0.5,1.0,1.0,0.49587993549917786,0.41470053364987813,-0.08117940184929973,-0.0009553864127127866,-0.0011775934980260317,robust_pass
0.2,0.02,1.0,1.0,1.0,0.49994201078120737,0.4391485103903623,-0.06079350039084508,-0.0007514901128442691,-0.0021335098271369397,robust_pass
