architecture,input_bit,beta1,expected_output_bit,time,beta_virtual,target_output_beta,output_excited_population,output_beta_effective,decoded_output_bit,is_correct,drive_power
direct_three_qubit,0,1.0,1,3.4499999999999997,101.5,1.9999607626096199,0.45836564145989517,1.6692394913855486,1,True,0.0
direct_three_qubit,0,1.0,1,3.5999999999999996,101.5,1.9999607626096199,0.4582194160462254,1.6751294909021281,1,True,0.0
direct_three_qubit,0,1.0,1,3.75,101.5,1.9999607626096199,0.45807580663431524,1.6809143993209454,1,True,0.0
direct_three_qubit,0,1.0,1,3.9,101.5,1.9999607626096199,0.4579347647087323,1.6865961567735084,1,True,0.0
direct_three_qubit,0,1.0,1,4.05,101.5,1.9999607626096199,0.45779624175404304,1.6921767039323694,1,True,0.0
direct_three_qubit,0,1.0,1,4.2,101.5,1.9999607626096199,0.45766018925481505,1.697657982001949,1,True,0.0
direct_three_qubit,0,1.0,1,4.35,101.5,1.9999607626096199,0.4575265586956152,1.7030419327094464,1,True,0.0
direct_three_qubit,0,1.0,1,4.5,101.5,1.9999607626096199,0.45739530156101066,1.7083304982955534,1,True,0.0
direct_three_qubit,0,1.0,1,4.6499999999999995,101.5,1.9999607626096199,0.45726637898234745,1.7135252327946089,1,True,0.0
direct_three_qubit,0,1.0,1,4.8,101.5,1.9999607626096199,0.4571397623879786,1.7186272757387122,1,True,0.0
direct_three_qubit,0,1.0,1,4.95,101.5,1.9999607626096199,0.4570154099597758,1.7236383008130514,1,True,0.0
direct_three_qubit,0,1.0,1,5.1,101.5,1.9999607626096199,0.45689327964243925,1.7285599916955858,1,True,0.0
direct_three_qubit,0,1.0,1,5.25,101.5,1.9999607626096199,0.45677332938066906,1.7333940324929127,1,True,0.0
direct_three_qubit,0,1.0,1,5.3999999999999995,101.5,1.9999607626096199,0.45665551711916486,1.7381421077324073,1,True,0.0
direct_three_qubit,0,1.0,1,5.55,101.5,1.9999607626096199,0.4565398008026271,1.7428059023542308,1,True,0.0
direct_three_qubit,0,1.0,1,5.7,101.5,1.9999607626096199,0.4564261391307068,1.7473870712743227,1,True,0.0
direct_three_qubit,0,1.0,1,5.85,101.5,1.9999607626096199,0.45631450087730535,1.7518868637309506,1,True,0.0
direct_three_qubit,0,1.0,1,6.0,101.5,1.9999607626096199,0.45620485182228654,1.756306649971431,1,True,0.0
direct_three_qubit,0,1.0,1,6.1499999999999995,101.5,1.9999607626096199,0.4560971559863905,1.7606478714893974,1,True,0.0
direct_three_qubit,0,1.0,1,6.3,101.5,1.9999607626096199,0.4559913780395543,1.764911943947048,1,True,0.0
direct_three_qubit,0,1.0,1,6.45,101.5,1.9999607626096199,0.45588748330090956,1.7691002571639252,1,True,0.0
direct_three_qubit,0,1.0,1,6.6,101.5,1.9999607626096199,0.45578543773878416,1.7732141751056956,1,True,0.0
direct_three_qubit,0,1.0,1,6.75,101.5,1.9999607626096199,0.4556852079707018,1.7772550358733192,1,True,0.0
direct_three_qubit,0,1.0,1,6.8999999999999995,101.5,1.9999607626096199,0.4555867612633816,1.7812241516923673,1,True,0.0
direct_three_qubit,0,1.0,1,7.05,101.5,1.9999607626096199,0.45549006553273824,1.7851228089026134,1,True,0.0
direct_three_qubit,0,1.0,1,7.199999999999999,101.5,1.9999607626096199,0.4553950893438822,1.7889522679478005,1,True,0.0
direct_three_qubit,0,1.0,1,7.35,101.5,1.9999607626096199,0.45530180191111985,1.7927137633656522,1,True,0.0
direct_three_qubit,0,1.0,1,7.5,101.5,1.9999607626096199,0.4552101730979531,1.7964085037781412,1,True,0.0
