architecture,input_bit,beta1,expected_output_bit,time,beta_virtual,target_output_beta,output_excited_population,output_beta_effective,decoded_output_bit,is_correct,trace,hermiticity_error,purity,elapsed_seconds
pt_mpo_floquet_buffered_output,0,1.0,1,1.0,101.5,1.9999607626096199,0.4626000427638776,1.4987977436609514,0,False,1.000000054986194,2.4998551045625988e-15,0.502797572701904,41.31653956700757
pt_mpo_floquet_buffered_output,0,1.0,1,1.2000000000000002,101.5,1.9999607626096199,0.4626131411308566,1.4982708620974217,0,False,1.0000000799937552,2.7884025396268243e-15,0.5027956404079927,41.31653956700757
pt_mpo_floquet_buffered_output,0,1.0,1,1.4000000000000001,101.5,1.9999607626096199,0.46262857770110355,1.4976499290163163,0,False,1.0000001014374928,2.6834265782784224e-15,0.5027933554299009,41.31653956700757
pt_mpo_floquet_buffered_output,0,1.0,1,1.6,101.5,1.9999607626096199,0.46264633150872225,1.496935789068862,0,False,1.0000001173747304,2.6355610370306404e-15,0.5027907192458319,41.31653956700757
pt_mpo_floquet_buffered_output,0,1.0,1,1.8,101.5,1.9999607626096199,0.46266638250612735,1.4961292501446315,0,False,1.000000129352932,2.538201017772309e-15,0.5027877370069289,41.31653956700757
pt_mpo_floquet_buffered_output,0,1.0,1,2.0,101.5,1.9999607626096199,0.46268870704270176,1.4952312652329076,0,False,1.0000001378071546,2.848271228164211e-15,0.5027844132638288,41.31653956700757
pt_mpo_floquet_buffered_output,0,1.0,1,2.2,101.5,1.9999607626096199,0.4627132790741859,1.49424288376521,0,False,1.0000001431673429,3.044932896674526e-15,0.5027807529727281,41.31653956700757
pt_mpo_floquet_buffered_output,0,1.0,1,2.4000000000000004,101.5,1.9999607626096199,0.4627400702556771,1.4931652478636996,0,False,1.0000001458235697,3.1613132626288536e-15,0.5027767614407044,41.31653956700757
pt_mpo_floquet_buffered_output,0,1.0,1,2.6,101.5,1.9999607626096199,0.46276905008208113,1.4919995866801763,0,False,1.0000001461000725,3.3484043801404907e-15,0.5027724442732154,41.31653956700757
pt_mpo_floquet_buffered_output,0,1.0,1,2.8000000000000003,101.5,1.9999607626096199,0.4628001860757486,1.4907472088366995,0,False,1.0000001442365174,3.3538308241612276e-15,0.5027678073221742,41.31653956700757
pt_mpo_floquet_buffered_output,0,1.0,1,3.0,101.5,1.9999607626096199,0.46283344401947923,1.4894094930410917,0,False,1.0000001403854375,3.2302332592668704e-15,0.502762856644598,41.31653956700757
pt_mpo_floquet_buffered_output,0,1.0,1,3.2,101.5,1.9999607626096199,0.4628687882041058,1.4879878781159988,0,False,1.0000001346186056,3.4590795149143805e-15,0.5027575984686857,41.31653956700757
pt_mpo_floquet_buffered_output,0,1.0,1,3.4000000000000004,101.5,1.9999607626096199,0.4629061816580069,1.4864838537549565,0,False,1.0000001269409164,3.4422493762898416e-15,0.5027520391707024,41.31653956700757
pt_mpo_floquet_buffered_output,0,1.0,1,3.6,101.5,1.9999607626096199,0.46294558632538135,1.4848989533395611,0,False,1.0000001173106168,3.3993843135452486e-15,0.5027461852663675,41.31653956700757
pt_mpo_floquet_buffered_output,0,1.0,1,3.8000000000000003,101.5,1.9999607626096199,0.4629869611723261,1.4832348301014842,0,False,1.000000103669116,3.675259189115354e-15,0.5027400415713508,41.31653956700757
pt_mpo_floquet_buffered_output,0,1.0,1,4.0,101.5,1.9999607626096199,0.4630302673170287,1.481493050769345,0,False,1.0000000870865007,3.427573670259337e-15,0.5027336159638776,41.31653956700757
pt_mpo_direct_output,1,2.0,0,0.0,-98.5,1.000052569303521,0.46257015465625045,1.5000000000000013,1,False,1.0,0.0,0.502801986644914,0.39996690800762735
pt_mpo_direct_output,1,2.0,0,0.2,-98.5,1.000052569303521,0.46345084471917686,1.4645785302261043,0,True,1.0,3.9252311467094385e-17,0.5026716815034836,0.39996690800762735
pt_mpo_direct_output,1,2.0,0,0.4,-98.5,1.000052569303521,0.4650235036814409,1.4013486395466124,0,True,1.0000000000000009,5.854800499240004e-17,0.5024467105894452,0.39996690800762735
pt_mpo_direct_output,1,2.0,0,0.6000000000000001,-98.5,1.000052569303521,0.4666896872302013,1.3343889957399273,0,True,1.0000000012414043,6.553387703052593e-10,0.5022191551977511,0.39996690800762735
pt_mpo_direct_output,1,2.0,0,0.8,-98.5,1.000052569303521,0.4683833296670624,1.2663564399827871,0,True,0.9999999985161004,6.55342017036031e-10,0.5019992261081518,0.39996690800762735
pt_mpo_direct_output,1,2.0,0,1.0,-98.5,1.000052569303521,0.47008607171092676,1.197987846659106,0,True,0.999999987418178,6.409673708630378e-10,0.5017896728768023,0.39996690800762735
pt_mpo_direct_output,1,2.0,0,1.2000000000000002,-98.5,1.000052569303521,0.4717832796030935,1.1298692803061388,0,True,0.9999999661242429,1.5626927156303827e-09,0.5015923308324329,0.39996690800762735
pt_mpo_direct_output,1,2.0,0,1.4000000000000001,-98.5,1.000052569303521,0.47342360822651813,1.0640584928837022,0,True,0.9999999442106171,9.114660102246487e-08,0.5014125504446523,0.39996690800762735
pt_mpo_direct_output,1,2.0,0,1.6,-98.5,1.000052569303521,0.4750089720598425,1.0004748040450726,0,True,0.9999999217117009,8.556615966707914e-08,0.5012490207537066,0.39996690800762735
pt_mpo_direct_output,1,2.0,0,1.8,-98.5,1.000052569303521,0.47654121011947753,0.9390410244066261,0,True,0.9999998986665237,7.967259906234212e-08,0.5011005235575281,0.39996690800762735
pt_mpo_direct_output,1,2.0,0,2.0,-98.5,1.000052569303521,0.47802209819804686,0.8796829131110379,0,True,0.9999998751156676,7.371447498879648e-08,0.5009659259615232,0.39996690800762735
pt_mpo_direct_output,1,2.0,0,2.2,-98.5,1.000052569303521,0.47945335533706357,0.8223288726669405,0,True,0.9999998510988837,6.768182177411451e-08,0.5008441741938781,0.39996690800762735
pt_mpo_direct_output,1,2.0,0,2.4000000000000004,-98.5,1.000052569303521,0.48083664690126693,0.7669097850591845,0,True,0.999999817452148,6.153355154493924e-08,0.500734278659696,0.39996690800762735
pt_mpo_direct_output,1,2.0,0,2.6,-98.5,1.000052569303521,0.48217357890859447,0.7133592024550764,0,True,0.9999997826188963,5.535337412979003e-08,0.5006353374465451,0.39996690800762735
pt_mpo_direct_output,1,2.0,0,2.8000000000000003,-98.5,1.000052569303521,0.48346570400135763,0.6616130752856525,0,True,0.999999747074577,4.919120466320863e-08,0.5005465045990946,0.39996690800762735
pt_mpo_direct_output,1,2.0,0,3.0,-98.5,1.000052569303521,0.4847145233860539,0.6116096454289491,0,True,0.9999997108581493,4.288055248996055e-08,0.5004669936095223,0.39996690800762735
pt_mpo_direct_output,1,2.0,0,3.2,-98.5,1.000052569303521,0.4859214876732717,0.5632893865496333,0,True,0.999999674008825,7.083027027043523e-08,0.5003960738486575,0.39996690800762735
pt_mpo_direct_output,1,2.0,0,3.4000000000000004,-98.5,1.000052569303521,0.487087999260044,0.5165948854629724,0,True,0.9999996365663646,5.882571865472237e-08,0.5003330667074043,0.39996690800762735
pt_mpo_direct_output,1,2.0,0,3.6,-98.5,1.000052569303521,0.4882154129027616,0.47147079844047135,0,True,0.9999995985652219,4.710362796493911e-08,0.5002773420900024,0.39996690800762735
pt_mpo_direct_output,1,2.0,0,3.8000000000000003,-98.5,1.000052569303521,0.4893050379885221,0.4278637417576323,0,True,0.9999995600436331,3.624230609129527e-08,0.5002283150580478,0.39996690800762735
pt_mpo_direct_output,1,2.0,0,4.0,-98.5,1.000052569303521,0.4903581455856162,0.3857219930275772,0,True,0.9999995083886565,2.632109608090579e-08,0.500185429621905,0.39996690800762735
pt_mpo_floquet_buffered_output,1,2.0,0,0.0,-98.5,1.000052569303521,0.46257015465625045,1.5000000000000013,1,False,1.0,0.0,0.502801986644914,43.244073413996375
pt_mpo_floquet_buffered_output,1,2.0,0,0.2,-98.5,1.000052569303521,0.46257135227279356,1.4999518253776174,0,True,1.0,1.7318054329941786e-20,0.5028018073413748,43.244073413996375
pt_mpo_floquet_buffered_output,1,2.0,0,0.4,-98.5,1.000052569303521,0.4625749434749515,1.4998073678848367,0,True,0.9999999999999996,2.2867508683242794e-16,0.5028012697118067,43.244073413996375
pt_mpo_floquet_buffered_output,1,2.0,0,0.6000000000000001,-98.5,1.000052569303521,0.46258092214024227,1.4995668741125978,0,True,0.9999999971536065,3.80192268394603e-15,0.5028003717163484,43.244073413996375
pt_mpo_floquet_buffered_output,1,2.0,0,0.8,-98.5,1.000052569303521,0.46258927562113045,1.4992308533289171,0,True,0.9999999859049054,3.92225284641762e-15,0.5027991094474534,43.244073413996375
pt_mpo_floquet_buffered_output,1,2.0,0,1.0,-98.5,1.000052569303521,0.4625999931718118,1.4987997385048064,0,True,0.9999999638802529,3.957459523566682e-15,0.5027974822002043,43.244073413996375
pt_mpo_floquet_buffered_output,1,2.0,0,1.2000000000000002,-98.5,1.000052569303521,0.46261306130224866,1.4982740731953772,0,True,0.9999999308198934,3.92358562153148e-15,0.502795492017987,43.244073413996375
pt_mpo_floquet_buffered_output,1,2.0,0,1.4000000000000001,-98.5,1.000052569303521,0.4626284695960562,1.4976542775111157,0,True,0.9999998967175467,4.045392350319164e-15,0.5027931515686931,43.244073413996375
pt_mpo_floquet_buffered_output,1,2.0,0,1.6,-98.5,1.000052569303521,0.46264620004275325,1.4969410772218938,0,True,0.9999998618170138,4.073951069062705e-15,0.5027904642388543,43.244073413996375
pt_mpo_floquet_buffered_output,1,2.0,0,1.8,-98.5,1.000052569303521,0.4626662323585272,1.4961352897205926,0,True,0.9999998263563904,4.034292110172358e-15,0.5027874338083171,43.244073413996375
pt_mpo_floquet_buffered_output,1,2.0,0,2.0,-98.5,1.000052569303521,0.4626885440741316,1.4952378204789591,0,True,0.9999997905591017,4.05810282848164e-15,0.5027840644247815,43.244073413996375
pt_mpo_floquet_buffered_output,1,2.0,0,2.2,-98.5,1.000052569303521,0.4627131090452174,1.494249722958233,0,True,0.9999997530339719,3.837883135658479e-15,0.502780359103776,43.244073413996375
pt_mpo_floquet_buffered_output,1,2.0,0,2.4000000000000004,-98.5,1.000052569303521,0.46273990188558034,1.4931720202763659,0,True,0.9999997150743051,3.5448687685026396e-15,0.502776323683769,43.244073413996375
pt_mpo_floquet_buffered_output,1,2.0,0,2.6,-98.5,1.000052569303521,0.4627688942138284,1.4920058561720957,0,True,0.9999996767365349,3.64533991463957e-15,0.5027719631691503,43.244073413996375
pt_mpo_floquet_buffered_output,1,2.0,0,2.8000000000000003,-98.5,1.000052569303521,0.46280005607833785,1.4907524376764507,0,True,0.999999638063169,3.681581631489074e-15,0.5027672828283289,43.244073413996375
pt_mpo_floquet_buffered_output,1,2.0,0,3.0,-98.5,1.000052569303521,0.4628333561804102,1.4894130261256444,0,True,0.9999995990835321,3.3551538146347714e-15,0.5027622881578231,43.244073413996375
pt_mpo_floquet_buffered_output,1,2.0,0,3.2,-98.5,1.000052569303521,0.46286876209528893,1.4879889282601266,0,True,0.9999995598147224,3.4165791902573325e-15,0.5027569848469298,43.244073413996375
pt_mpo_floquet_buffered_output,1,2.0,0,3.4000000000000004,-98.5,1.000052569303521,0.46290624046396645,1.4864814884986848,0,True,0.9999995202638735,3.644041394138929e-15,0.5027513787482008,43.244073413996375
pt_mpo_floquet_buffered_output,1,2.0,0,3.6,-98.5,1.000052569303521,0.46294575712813935,1.4848920834994384,0,True,0.9999994804307513,3.596046579224135e-15,0.5027454758567937,43.244073413996375
pt_mpo_floquet_buffered_output,1,2.0,0,3.8000000000000003,-98.5,1.000052569303521,0.4629872771893525,1.4832221197701834,0,True,0.9999994313473897,3.4701158170669217e-15,0.5027392726746739,43.244073413996375
pt_mpo_floquet_buffered_output,1,2.0,0,4.0,-98.5,1.000052569303521,0.46303076498905715,1.4814730344596219,0,True,0.9999993820826469,3.105482179334625e-15,0.5027327852152739,43.244073413996375
