architecture,input_bit,beta1,expected_output_bit,time,beta_virtual,target_output_beta,output_excited_population,output_beta_effective,decoded_output_bit,is_correct,decoder_threshold,decoding_margin,trace,hermiticity_error,purity,elapsed_seconds
pt_mpo_direct_output,0,1.0,1,2.0,101.5,1.9999607626096199,0.4646366659476261,1.4168990885181842,1,True,1.2851527987908704,0.13174628972731384,0.9999991190660897,1.3685260813051597e-08,0.502500187551945,0.3375102220015833
pt_mpo_direct_output,0,1.0,1,2.2,101.5,1.9999607626096199,0.4646067361785029,1.4181023031730073,1,True,1.2851527987908704,0.13294950438213693,0.9999989851132618,1.3657092546477076e-08,0.5025042795218598,0.3375102220015833
pt_mpo_direct_output,0,1.0,1,2.4000000000000004,101.5,1.9999607626096199,0.4645773632356366,1.41928314267029,1,True,1.2851527987908704,0.1341303438794197,0.999998851066824,1.3626736538478232e-08,0.5025082960623389,0.3375102220015833
pt_mpo_direct_output,0,1.0,1,2.6,101.5,1.9999607626096199,0.4645485367374721,1.420442023817187,1,True,1.2851527987908704,0.13528922502631668,0.9999987169285351,1.3594168145565474e-08,0.5025122384515683,0.3375102220015833
pt_mpo_direct_output,0,1.0,1,2.8000000000000003,101.5,1.9999607626096199,0.4645202464960412,1.4215793556613712,1,True,1.2851527987908704,0.13642655687050076,0.9999985827001167,1.3559365821236648e-08,0.5025161079486278,0.3375102220015833
pt_mpo_direct_output,0,1.0,1,3.0,101.5,1.9999607626096199,0.4644924825133217,1.4226955396365177,1,True,1.2851527987908704,0.13754274084564733,0.9999984483832549,1.3522313511367221e-08,0.5025199057936784,0.3375102220015833
pt_mpo_direct_output,0,1.0,1,3.2,101.5,1.9999607626096199,0.46446523497768955,1.423790969704099,1,True,1.2851527987908704,0.1386381709132285,0.9999983139796026,1.348300072977536e-08,0.5025236332081495,0.3375102220015833
pt_mpo_direct_output,0,1.0,1,3.4000000000000004,101.5,1.9999607626096199,0.4644384942604429,1.4248660324922942,1,True,1.2851527987908704,0.13971323370142374,0.9999981794907871,1.3441419602508575e-08,0.5025272913949328,0.3375102220015833
pt_mpo_direct_output,0,1.0,1,3.6,101.5,1.9999607626096199,0.46441225091238947,1.425921107432412,1,True,1.2851527987908704,0.14076830864154166,0.9999980449184013,1.3397566532073284e-08,0.5025308815385623,0.3375102220015833
pt_mpo_direct_output,0,1.0,1,3.8000000000000003,101.5,1.9999607626096199,0.4643864956604987,1.4269565668926993,1,True,1.2851527987908704,0.14180376810182893,0.9999979102640059,1.3351442539093163e-08,0.5025344048054083,0.3375102220015833
pt_mpo_direct_output,0,1.0,1,4.0,101.5,1.9999607626096199,0.46436121940462305,1.4279727763094507,1,True,1.2851527987908704,0.14281997751858033,0.9999977755291364,1.3303051742023847e-08,0.5025378623438774,0.3375102220015833
pt_mpo_floquet_buffered_output,0,1.0,1,0.0,101.5,1.9999607626096199,0.46257015465625045,1.5000000000000013,1,True,1.4815464202509727,0.018453579749028615,1.0,0.0,0.502801986644914,36.51361422800983
pt_mpo_floquet_buffered_output,0,1.0,1,0.2,101.5,1.9999607626096199,0.46257135227270585,1.4999518253811455,1,True,1.4815464202509727,0.018405405130172747,0.9999999999999999,1.2881090648367489e-20,0.5028018073413877,36.51361422800983
pt_mpo_floquet_buffered_output,0,1.0,1,0.4,101.5,1.9999607626096199,0.4625749434713938,1.4998073680279485,1,True,1.4815464202509727,0.018260947776975733,0.9999999999999996,4.2774935403882467e-16,0.5028012697123394,36.51361422800983
pt_mpo_floquet_buffered_output,0,1.0,1,0.6000000000000001,101.5,1.9999607626096199,0.4625809056160765,1.4995675388019882,1,True,1.4815464202509727,0.018021118551015514,0.9999999666231463,2.6090466367599766e-15,0.5028003413743218,36.51361422800983
pt_mpo_floquet_buffered_output,0,1.0,1,0.8,101.5,1.9999607626096199,0.4625892299096168,1.4992326920832821,1,True,1.4815464202509727,0.01768627183230942,0.9999999030158186,2.5776435433529266e-15,0.502799027196896,36.51361422800983
