architecture,initial_state,time,system_excited_population,system_purity,drive_power
direct,ground,8.357142857142856,0.3564348290728017,0.5412219166067113,0.0
direct,ground,8.428571428571429,0.3585694280745456,0.5400052133503221,0.0
direct,ground,8.5,0.36069186409927817,0.5388135134562679,0.0
direct,ground,8.571428571428571,0.3628022064990511,0.537646469083058,0.0
direct,ground,8.642857142857142,0.3649005242385292,0.5365037367020484,0.0
direct,ground,8.714285714285714,0.36698688589774814,0.5353849770463572,0.0
direct,ground,8.785714285714285,0.3690613596748713,0.5342898550603868,0.0
direct,ground,8.857142857142856,0.3711240133889471,0.5332180398499444,0.0
direct,ground,8.928571428571429,0.37317491446381523,0.5321692046425212,0.0
direct,ground,9.0,0.37521412949672595,0.5311430269545199,0.0
direct,ground,9.071428571428571,0.37724172489277824,0.5301391882146007,0.0
direct,ground,9.142857142857142,0.37925776685613033,0.5291573737291373,0.0
direct,ground,9.214285714285714,0.38126232121645537,0.5281972727258085,0.0
direct,ground,9.285714285714285,0.38325545343142925,0.5272585783070024,0.0
direct,ground,9.357142857142856,0.3852372285892189,0.5263409874037664,0.0
direct,ground,9.428571428571429,0.3872077114109699,0.5254442007303021,0.0
direct,ground,9.5,0.3891669662532945,0.5245679227389968,0.0
direct,ground,9.571428571428571,0.3911150571107599,0.5237118615759861,0.0
direct,ground,9.642857142857142,0.39305204761837587,0.5228757290372444,0.0
direct,ground,9.714285714285714,0.3949780010540828,0.5220592405251925,0.0
direct,ground,9.785714285714285,0.3968929803412399,0.5212621150058241,0.0
direct,ground,9.857142857142856,0.39879704805111266,0.5204840749663376,0.0
direct,ground,9.928571428571429,0.40069026640536143,0.5197248463732763,0.0
direct,ground,10.0,0.4025726972785288,0.5189841586311624,0.0
direct,ground,10.071428571428571,0.404444402200528,0.5182617445416289,0.0
direct,ground,10.142857142857142,0.4063054423591308,0.5175573402630365,0.0
direct,ground,10.214285714285714,0.40815587860245506,0.5168706852705739,0.0
direct,ground,10.285714285714285,0.4099957714414534,0.5162015223168384,0.0
direct,ground,10.357142857142856,0.4118251810524004,0.515549597392884,0.0
direct,ground,10.428571428571429,0.4136441672775945,0.5149146596903602,0.0
direct,ground,10.5,0.41545278916924466,0.5142964617185204,0.0
direct,ground,10.571428571428571,0.41725110545763455,0.5136947590959671,0.0
direct,ground,10.642857142857142,0.41903917485500275,0.5131093104163178,0.0
direct,ground,10.714285714285714,0.42081705574035433,0.5125398773232523,0.0
direct,ground,10.785714285714285,0.42258480616162386,0.5119862244740667,0.0
direct,ground,10.857142857142856,0.4243424838378381,0.5114481195036555,0.0
direct,ground,10.928571428571429,0.42609014616127916,0.5109253329889223,0.0
direct,ground,11.0,0.427827850199647,0.5104176384136093,0.0
direct,ground,11.071428571428571,0.42955565269822277,0.5099248121335469,0.0
direct,ground,11.142857142857142,0.43127361008203174,0.5094466333423133,0.0
direct,ground,11.214285714285714,0.4329817784580059,0.5089828840373036,0.0
direct,ground,11.285714285714285,0.43468021361714704,0.5085333489862032,0.0
direct,ground,11.357142857142856,0.43636897103668965,0.5080978156938594,0.0
direct,ground,11.428571428571427,0.43804810588226384,0.5076760743695505,0.0
direct,ground,11.5,0.4397176730100584,0.5072679178946446,0.0
direct,ground,11.571428571428571,0.44137772696898325,0.5068731417906462,0.0
direct,ground,11.642857142857142,0.44302832200283304,0.5064915441876258,0.0
direct,ground,11.714285714285714,0.44466951205244953,0.5061229257930281,0.0
direct,ground,11.785714285714285,0.44630135075788474,0.5057670898608555,0.0
direct,ground,11.857142857142856,0.4479238914605638,0.5054238421612224,0.0
direct,ground,11.928571428571427,0.4495371872054477,0.5050929909502762,0.0
direct,ground,12.0,0.4511412905437008,0.5047743469794702,0.0
direct,ground,12.071428571428571,0.45273625358586944,0.5044677234501986,0.0
direct,ground,12.142857142857142,0.45432212840681324,0.5041729359065674,0.0
direct,ground,12.214285714285714,0.45589896678947484,0.5038898022604719,0.0
direct,ground,12.285714285714285,0.45746682022423124,0.5036181427636759,0.0
direct,ground,12.357142857142856,0.459025739910857,0.5033577799797054,0.0
direct,ground,12.428571428571427,0.4605757767604881,0.5031085387560779,0.0
direct,ground,12.5,0.4621169813975844,0.502870246196862,0.0
direct,ground,12.571428571428571,0.46364940416189365,0.5026427316355708,0.0
direct,ground,12.642857142857142,0.46517309511041477,0.5024258266083765,0.0
direct,ground,12.714285714285714,0.46668810401936095,0.5022193648276498,0.0
direct,ground,12.785714285714285,0.46819448038612316,0.5020231821558174,0.0
direct,ground,12.857142857142856,0.46969227343123326,0.5018371165795342,0.0
direct,ground,12.928571428571427,0.471181532100328,0.5016610081841689,0.0
direct,ground,13.0,0.4726623050661112,0.5014946991285969,0.0
direct,ground,13.071428571428571,0.474134640730318,0.5013380336202994,0.0
direct,ground,13.142857142857142,0.4755985872256785,0.5011908578907658,0.0
direct,ground,13.214285714285714,0.4770541924178797,0.5010530201711915,0.0
direct,ground,13.285714285714285,0.4785015039075303,0.500924370668476,0.0
direct,ground,13.357142857142856,0.4799405690321231,0.5008047615415101,0.0
direct,ground,13.428571428571427,0.48137143486799894,0.5006940468777545,0.0
direct,ground,13.5,0.48279414805653587,0.5005920826822008,0.0
direct,ground,13.571428571428571,0.48420875462601565,0.5004987268609228,0.0
direct,ground,13.642857142857142,0.48561530073326153,0.500413839145989,0.0
direct,ground,13.714285714285714,0.48701383229741046,0.5003372811031996,0.0
direct,ground,13.785714285714285,0.4884043949768452,0.5002689161117061,0.0
direct,ground,13.857142857142856,0.48978703417088476,0.5002086093420534,0.0
direct,ground,13.928571428571427,0.49116179502147467,0.5001562277344849,0.0
direct,ground,14.0,0.49252872241487694,0.500111639977508,0.0
direct,ground,14.071428571428571,0.4938878609833602,0.5000747164867175,0.0
direct,ground,14.142857142857142,0.49523925510689015,0.5000453293838746,0.0
direct,ground,14.214285714285714,0.49658294891481974,0.5000233524762375,0.0
direct,ground,14.285714285714285,0.49791898628757914,0.5000086612361426,0.0
direct,ground,14.357142857142856,0.499247410858366,0.5000011327808324,0.0
direct,ground,14.428571428571427,0.5005682660148357,0.5000006458525272,0.0
direct,ground,14.5,0.5018815949007919,0.5000070807987415,0.0
direct,ground,14.571428571428571,0.5031874404178757,0.500020319552835,0.0
direct,ground,14.642857142857142,0.5044858452272569,0.5000402456148059,0.0
direct,ground,14.714285714285714,0.5057768517513239,0.5000667440323137,0.0
direct,ground,14.785714285714285,0.5070605021753735,0.500099701381937,0.0
direct,ground,14.857142857142856,0.5083368384493013,0.5001390057506596,0.0
direct,ground,14.928571428571427,0.5096059022892924,0.500184546717583,0.0
